region,month,expected_mw,actual_mw,realization,bias_mw
North America,2024-01-01,0.0,0.0,,0.0
North America,2024-02-01,0.0,0.0,,0.0
North America,2024-03-01,0.0,0.0,,0.0
North America,2024-04-01,0.0,0.0,,0.0
North America,2024-05-01,0.0,0.0,,0.0
North America,2024-06-01,15.9,6.0,0.3773584905660377,-9.9
North America,2024-07-01,14.200000000000001,8.8,0.6197183098591549,-5.4
North America,2024-08-01,202.4,102.0,0.5039525691699605,-100.4
North America,2024-09-01,142.4,158.2,1.1109550561797752,15.799999999999983
North America,2024-10-01,232.60000000000002,169.70000000000002,0.7295786758383491,-62.900000000000006
North America,2024-11-01,294.09999999999997,194.19999999999996,0.6603196191771505,-99.9
North America,2024-12-01,846.4,800.2999999999998,0.9455340264650282,-46.100000000000136
North America,2025-01-01,493.5,575.3999999999999,1.1659574468085103,81.89999999999986
North America,2025-02-01,423.0,245.9,0.5813238770685579,-177.1
North America,2025-03-01,336.4,401.4,1.1932223543400713,65.0
North America,2025-04-01,404.3,411.40000000000003,1.01756121691813,7.100000000000023
North America,2025-05-01,532.7,531.1,0.9969964332645016,-1.6000000000000227
North America,2025-06-01,319.7999999999999,374.5,1.1710444027517202,54.7000000000001
North America,2025-07-01,291.6,227.10000000000002,0.7788065843621399,-64.5
North America,2025-08-01,392.0,419.99999999999994,1.0714285714285712,27.999999999999943
North America,2025-09-01,290.2,345.3,1.18986905582357,55.10000000000002
North America,2025-10-01,462.8,487.59999999999997,1.0535868625756266,24.799999999999955
North America,2025-11-01,444.2,399.5,0.8993696533093202,-44.69999999999999
North America,2025-12-01,479.79999999999995,527.0,1.0983743226344311,47.200000000000045
EMEA,2024-01-01,0.0,0.0,,0.0
EMEA,2024-02-01,0.0,0.0,,0.0
EMEA,2024-03-01,0.0,0.0,,0.0
EMEA,2024-04-01,0.0,0.0,,0.0
EMEA,2024-05-01,0.0,0.0,,0.0
EMEA,2024-06-01,53.8,0.0,0.0,-53.8
EMEA,2024-07-01,71.9,0.0,0.0,-71.9
EMEA,2024-08-01,30.599999999999998,30.599999999999998,1.0,0.0
EMEA,2024-09-01,9.8,34.6,3.530612244897959,24.8
EMEA,2024-10-01,99.3,43.3,0.4360523665659617,-56.0
EMEA,2024-11-01,121.8,42.2,0.3464696223316913,-79.6
EMEA,2024-12-01,84.9,97.0,1.1425206124852767,12.099999999999994
EMEA,2025-01-01,55.4,69.09999999999998,1.247292418772563,13.699999999999982
EMEA,2025-02-01,46.400000000000006,56.8,1.2241379310344827,10.399999999999991
EMEA,2025-03-01,218.60000000000002,106.39999999999999,0.4867337602927721,-112.20000000000003
EMEA,2025-04-01,32.099999999999994,131.2,4.0872274143302185,99.1
EMEA,2025-05-01,3.0,91.8,30.599999999999998,88.8
EMEA,2025-06-01,81.99999999999999,104.0,1.2682926829268295,22.000000000000014
EMEA,2025-07-01,69.60000000000001,45.099999999999994,0.6479885057471263,-24.500000000000014
EMEA,2025-08-01,25.800000000000004,34.0,1.3178294573643408,8.199999999999996
EMEA,2025-09-01,110.3,106.59999999999998,0.9664551223934722,-3.700000000000017
EMEA,2025-10-01,80.8,96.7,1.1967821782178218,15.900000000000006
EMEA,2025-11-01,65.7,15.299999999999999,0.2328767123287671,-50.400000000000006
EMEA,2025-12-01,142.5,160.9,1.1291228070175439,18.400000000000006
APAC,2024-01-01,0.0,0.0,,0.0
APAC,2024-02-01,0.0,0.0,,0.0
APAC,2024-03-01,0.0,0.0,,0.0
APAC,2024-04-01,0.0,0.0,,0.0
APAC,2024-05-01,0.0,0.0,,0.0
APAC,2024-06-01,0.0,0.0,,0.0
APAC,2024-07-01,33.8,0.0,0.0,-33.8
APAC,2024-08-01,0.0,0.0,,0.0
APAC,2024-09-01,65.69999999999999,19.3,0.29375951293759517,-46.39999999999999
APAC,2024-10-01,45.7,40.2,0.8796498905908097,-5.5
APAC,2024-11-01,52.2,33.4,0.6398467432950191,-18.800000000000004
APAC,2024-12-01,85.39999999999999,107.6,1.259953161592506,22.200000000000003
APAC,2025-01-01,196.60000000000002,15.3,0.07782299084435401,-181.3
APAC,2025-02-01,85.4,79.3,0.9285714285714285,-6.1000000000000085
APAC,2025-03-01,19.9,33.7,1.6934673366834174,13.800000000000004
APAC,2025-04-01,49.8,19.8,0.3975903614457832,-29.999999999999996
APAC,2025-05-01,27.6,118.5,4.293478260869565,90.9
APAC,2025-06-01,32.1,54.0,1.6822429906542056,21.9
APAC,2025-07-01,80.8,48.0,0.594059405940594,-32.8
APAC,2025-08-01,75.9,39.7,0.5230566534914362,-36.2
APAC,2025-09-01,125.19999999999999,44.8,0.35782747603833864,-80.39999999999999
APAC,2025-10-01,42.1,70.7,1.6793349168646081,28.6
APAC,2025-11-01,73.0,67.9,0.93013698630137,-5.099999999999994
APAC,2025-12-01,58.9,87.0,1.4770797962648556,28.1
LATAM,2024-01-01,0.0,0.0,,0.0
LATAM,2024-02-01,0.0,0.0,,0.0
LATAM,2024-03-01,0.0,0.0,,0.0
LATAM,2024-04-01,0.0,0.0,,0.0
LATAM,2024-05-01,0.0,0.0,,0.0
LATAM,2024-06-01,0.0,0.0,,0.0
LATAM,2024-07-01,0.0,0.0,,0.0
LATAM,2024-08-01,30.1,0.0,0.0,-30.1
LATAM,2024-09-01,70.9,0.0,0.0,-70.9
LATAM,2024-10-01,4.4,0.0,0.0,-4.4
LATAM,2024-11-01,23.0,124.80000000000001,5.42608695652174,101.80000000000001
LATAM,2024-12-01,18.0,12.5,0.6944444444444444,-5.5
LATAM,2025-01-01,122.6,98.8,0.8058727569331159,-23.799999999999997
LATAM,2025-02-01,73.0,71.60000000000001,0.9808219178082193,-1.3999999999999915
LATAM,2025-03-01,0.0,0.0,,0.0
LATAM,2025-04-01,89.19999999999999,87.39999999999999,0.9798206278026906,-1.7999999999999972
LATAM,2025-05-01,57.6,16.5,0.2864583333333333,-41.1
LATAM,2025-06-01,18.7,0.0,0.0,-18.7
LATAM,2025-07-01,13.8,13.8,1.0,0.0
LATAM,2025-08-01,31.2,81.60000000000001,2.615384615384616,50.400000000000006
