cutoff,month,actual,p10,p50,p90,p25,p75,in_80,in_50,offset
2024-10-01,2024-11-01,26443500.0,25666295.0,31149150.0,36317115.0,28318487.5,33894725.0,True,False,1
2024-10-01,2024-12-01,26693350.0,22412285.0,28110075.0,34227200.0,25199787.5,31375687.5,True,True,2
2024-10-01,2025-01-01,23339950.0,22513335.0,27528825.0,32501815.0,24923025.0,30216862.5,True,False,3
2024-10-01,2025-02-01,17299300.0,11465735.0,15750875.0,20920335.0,13363100.0,18436212.5,True,True,4
2024-10-01,2025-03-01,20974650.0,14173410.0,17627850.0,21238285.0,15837912.5,19440475.0,True,False,5
2024-10-01,2025-04-01,20108700.0,16013605.0,19541950.0,23275200.0,17669050.0,21509662.5,True,True,6
2024-11-01,2024-12-01,26693350.0,23730000.0,27530225.0,30949435.0,25433262.5,29312137.5,True,True,1
2024-11-01,2025-01-01,23339950.0,26311900.0,31393475.0,36159085.0,28707012.5,33893712.5,False,False,2
2024-11-01,2025-02-01,17299300.0,12624305.0,16650925.0,21207925.0,14521612.5,19047737.5,True,True,3
2024-11-01,2025-03-01,20974650.0,15505260.0,19178150.0,23000715.0,17230712.5,21072150.0,True,True,4
2024-11-01,2025-04-01,22132100.0,16725330.0,20408000.0,24137025.0,18509962.5,22395325.0,True,True,5
2024-11-01,2025-05-01,20321950.0,16220930.0,20017400.0,23381970.0,18077562.5,21825362.5,True,True,6
2024-12-01,2025-01-01,23339950.0,22115270.0,26841150.0,31154375.0,24391950.0,29140012.5,True,False,1
2024-12-01,2025-02-01,17299300.0,14451670.0,18883600.0,23874729.999999996,16531475.0,21622875.0,True,True,2
2024-12-01,2025-03-01,20974650.0,16956750.0,20629750.0,24467070.0,18736362.5,22590000.0,True,True,3
2024-12-01,2025-04-01,22132100.0,15777840.0,19487075.0,23874045.0,17428575.0,21738900.0,True,False,4
2024-12-01,2025-05-01,23070950.0,18468325.0,22876700.0,27328425.0,20520275.0,25175975.0,True,True,5
2024-12-01,2025-06-01,20903950.0,13756670.0,18868925.0,23749425.0,16137225.0,21416100.0,True,True,6
2025-01-01,2025-02-01,17299300.0,16303770.0,19402425.0,22395165.0,17794487.5,20987500.0,True,False,1
2025-01-01,2025-03-01,20974650.0,17937905.0,21770900.0,25637540.0,19763637.5,23876525.0,True,True,2
2025-01-01,2025-04-01,22132100.0,16302040.0,20101675.0,24072680.0,18042200.0,22193737.5,True,True,3
2025-01-01,2025-05-01,23070950.0,19682515.0,24210000.0,28654000.0,21848125.0,26581900.0,True,True,4
2025-01-01,2025-06-01,27145550.0,19328305.0,24677525.0,29844230.0,21975650.0,27410725.0,True,True,5
2025-01-01,2025-07-01,13598000.0,11442675.0,15595425.0,20620580.0,13341712.5,18245137.5,True,True,6
2025-02-01,2025-03-01,20974650.0,16775910.0,19735925.0,22455080.0,18219150.0,21180612.5,True,True,1
2025-02-01,2025-04-01,22132100.0,19900310.0,23807575.0,27914625.0,21783025.0,26000662.5,True,True,2
2025-02-01,2025-05-01,23070950.0,20877635.0,25116625.0,29349940.0,22993500.0,27403637.5,True,True,3
2025-02-01,2025-06-01,27145550.0,19099255.0,24689325.0,29764920.0,21808550.0,27472787.5,True,True,4
2025-02-01,2025-07-01,19053900.0,15737480.0,20273250.0,25715409.999999996,17848062.5,23082637.5,True,True,5
2025-02-01,2025-08-01,15366900.0,12683175.0,16282400.0,20183900.0,14409362.5,18307375.0,True,True,6
2025-03-01,2025-04-01,22132100.0,14242165.0,17272900.0,20256880.0,15695900.0,18913537.5,False,False,1
2025-03-01,2025-05-01,23070950.0,24576910.0,28706650.0,32848870.0,26643487.5,30934962.5,False,False,2
2025-03-01,2025-06-01,27145550.0,19022040.0,24725000.0,29938490.0,21733337.5,27446812.5,True,True,3
2025-03-01,2025-07-01,19053900.0,16030035.0,20268725.0,25467360.0,18008212.5,23056187.5,True,True,4
2025-03-01,2025-08-01,20209200.0,17118930.0,21025525.0,25265455.0,19004712.5,23303262.5,True,True,5
2025-03-01,2025-09-01,26502000.0,22500135.0,27611325.0,32596795.0,24975162.5,30277987.5,True,True,6
2025-04-01,2025-05-01,23070950.0,15724420.0,19360075.0,22753065.0,17472850.0,21175200.0,False,False,1
2025-04-01,2025-06-01,27145550.0,19423270.0,24773225.0,29936390.0,22094750.0,27655525.0,True,True,2
2025-04-01,2025-07-01,19053900.0,16638220.0,21031750.0,26332845.0,18670000.0,23735550.0,True,True,3
2025-04-01,2025-08-01,20209200.0,17941330.0,21855125.0,26194405.0,19748650.0,24084950.0,True,True,4
2025-04-01,2025-09-01,29555000.0,25230925.0,30579350.0,35999685.0,27756562.5,33399287.5,True,True,5
2025-04-01,2025-10-01,17019600.0,16925940.0,21318425.0,26496715.0,19060075.0,24013700.0,True,False,6
2025-05-01,2025-06-01,27145550.0,15766950.0,20860975.0,24868880.0,18092637.5,23108287.5,False,False,1
2025-05-01,2025-07-01,19053900.0,16374010.0,20699100.0,25867520.0,18323937.5,23322562.5,True,True,2
2025-05-01,2025-08-01,20209200.0,18224280.0,22329625.0,26629415.0,20153462.5,24508287.5,True,True,3
2025-05-01,2025-09-01,29555000.0,25404230.0,30633675.0,35608690.0,27880250.0,33275325.0,True,True,4
2025-05-01,2025-10-01,23088250.0,21165590.0,26496100.0,31912140.0,23651375.0,29346487.5,True,False,5
2025-05-01,2025-11-01,17684700.0,14608725.0,19438725.0,25049140.0,16696775.0,22440950.0,True,True,6
