region,month,orders_booked,mw_booked,value_booked,mw_converted,value_converted,backlog_value,backlog_mw,committed_material,material_in_horizon,mw_in_horizon,book_to_bill
North America,2024-01-01,12,246.10000000000002,20426300.0,0.0,0.0,20426300.0,246.10000000000002,15319725.0,0.0,0.0,
North America,2024-02-01,18,254.1,21090300.0,0.0,0.0,41516600.0,500.2,31137450.0,989775.0,15.9,
North America,2024-03-01,30,588.0,48804000.0,0.0,0.0,89606800.0,1079.6,67205100.0,1873725.0,30.1,
North America,2024-04-01,27,460.4,38213200.0,0.0,0.0,127820000.0,1540.0000000000002,95865000.0,13937775.0,223.9,
North America,2024-05-01,25,499.0,41417000.0,0.0,0.0,169237000.0,2039.0000000000002,126927750.0,22802175.0,366.29999999999995,
North America,2024-06-01,35,662.4999999999999,54987500.0,6.0,498000.0,223726500.0,2695.5,167794875.0,36291750.0,583.0,110.41666666666667
North America,2024-07-01,22,464.29999999999995,38536900.0,8.8,730400.0000000001,260437400.0,3137.8,195328050.0,53715525.0,862.9,52.761363636363626
North America,2024-08-01,16,354.9,29456700.0,102.0,8466000.0,281428100.0,3390.7,211071075.0,94339875.0,1515.4999999999998,3.4794117647058824
North America,2024-09-01,19,298.6,24783800.0,158.2,13130600.0,293081300.0,3531.1,219810975.0,116195850.0,1866.6000000000001,1.8874841972187104
North America,2024-10-01,23,351.69999999999993,29191100.0,169.70000000000002,14085100.0,308187300.0,3713.1000000000004,231140475.0,127226550.0,2043.7999999999997,2.0724808485562756
North America,2024-11-01,21,431.8,35839400.0,194.19999999999996,16118600.0,326098700.0,3928.9,244574025.0,129859725.0,2086.1,2.223480947476828
North America,2024-12-01,24,278.8,23140400.0,800.2999999999998,66424900.0,280639600.0,3381.2,210479700.0,102339000.0,1644.0,0.3483693614894415
North America,2025-01-01,29,540.2,44836600.0,575.3999999999999,47758200.0,277718000.0,3346.0,208288500.0,103422150.0,1661.3999999999999,0.9388251651025373
North America,2025-02-01,28,415.7,34503100.0,245.9,20409700.0,291811400.0,3515.8,218858550.0,97819650.0,1571.3999999999999,1.6905246034973567
North America,2025-03-01,31,597.6999999999999,49609100.0,401.4,33316200.0,308104300.0,3712.1,231078225.0,94097100.0,1511.6000000000001,1.4890383657199802
North America,2025-04-01,25,548.8,45550400.0,411.40000000000003,34146200.0,319508500.0,3849.5,239631375.0,93331425.0,1499.3,1.3339815264948955
North America,2025-05-01,18,309.40000000000003,25680200.0,531.1,44081300.0,298385000.0,3595.0,223788750.0,78895650.0,1267.4,0.5825644887968368
North America,2025-06-01,29,553.0,45899000.0,374.5,31083500.0,313200500.0,3773.5,234900375.0,87797400.0,1410.4,1.4766355140186915
North America,2025-07-01,38,766.0000000000001,63578000.0,227.10000000000002,18849300.0,357929200.0,4312.4,268446900.0,98230500.0,1577.9999999999998,3.37296345222369
North America,2025-08-01,35,614.9000000000002,51036700.0,419.99999999999994,34860000.0,374105900.0,4507.299999999999,280579425.0,103696050.0,1665.8000000000002,1.464047619047619
North America,2025-09-01,31,507.90000000000003,42155700.0,345.3,28659900.0,387601700.0,4669.9,290701275.0,141867750.0,2279.0000000000005,1.4708948740225891
North America,2025-10-01,17,308.6,25613800.0,487.59999999999997,40470800.0,372744700.0,4490.9,279558525.0,149306625.0,2398.5,0.632895816242822
North America,2025-11-01,30,471.6,39142800.0,399.5,33158500.0,377342900.0,4546.3,283007175.0,156558750.0,2514.9999999999995,1.1804755944931165
North America,2025-12-01,33,593.5,49260500.0,527.0,43741000.0,382480600.0,4608.2,286860450.0,154516950.0,2482.2000000000003,1.1261859582542695
EMEA,2024-01-01,6,133.1,11203200.0,0.0,0.0,11203200.0,133.1,8402400.0,0.0,0.0,
EMEA,2024-02-01,10,116.10000000000001,9871000.0,0.0,0.0,21074200.0,249.2,15805650.0,3268350.0,53.8,
EMEA,2024-03-01,9,211.7,18155700.0,0.0,0.0,36313900.0,424.9,27235425.0,7949700.0,125.7,
EMEA,2024-04-01,4,66.0,5700900.0,0.0,0.0,42014800.0,490.9,31511100.0,9839100.0,156.3,
EMEA,2024-05-01,2,29.200000000000003,2528300.0,0.0,0.0,44543100.0,520.0999999999999,33407325.0,10485900.0,166.1,
EMEA,2024-06-01,3,58.5,5055600.0,0.0,0.0,49598700.0,578.6,37199025.0,13570800.0,211.60000000000002,
EMEA,2024-07-01,8,94.9,7994900.0,0.0,0.0,57285800.0,669.7,42964350.0,16828500.0,261.5,
EMEA,2024-08-01,5,92.0,7991700.0,30.599999999999998,2519200.0,62758300.0,731.1,47068725.0,18001125.0,279.79999999999995,3.172316608447126
