market,month,orders_booked,mw_booked,value_booked,mw_converted,value_converted,backlog_value,backlog_mw,committed_material,material_in_horizon,mw_in_horizon,book_to_bill
US / Canada,2024-01-01,12,246.10000000000002,20426300.0,0.0,0.0,20426300.0,246.10000000000002,15319725.0,0.0,0.0,
US / Canada,2024-02-01,18,254.1,21090300.0,0.0,0.0,41516600.0,500.2,31137450.0,989775.0,15.9,
US / Canada,2024-03-01,30,588.0,48804000.0,0.0,0.0,89606800.0,1079.6,67205100.0,1873725.0,30.1,
US / Canada,2024-04-01,27,460.4,38213200.0,0.0,0.0,127820000.0,1540.0000000000002,95865000.0,13937775.0,223.9,
US / Canada,2024-05-01,25,499.0,41417000.0,0.0,0.0,169237000.0,2039.0000000000002,126927750.0,22802175.0,366.29999999999995,
US / Canada,2024-06-01,35,662.4999999999999,54987500.0,6.0,498000.0,223726500.0,2695.5,167794875.0,36291750.0,583.0,110.41666666666667
US / Canada,2024-07-01,22,464.29999999999995,38536900.0,8.8,730400.0000000001,260437400.0,3137.8,195328050.0,53715525.0,862.9,52.761363636363626
US / Canada,2024-08-01,16,354.9,29456700.0,102.0,8466000.0,281428100.0,3390.7,211071075.0,94339875.0,1515.4999999999998,3.4794117647058824
US / Canada,2024-09-01,19,298.6,24783800.0,158.2,13130600.0,293081300.0,3531.1,219810975.0,116195850.0,1866.6000000000001,1.8874841972187104
US / Canada,2024-10-01,23,351.69999999999993,29191100.0,169.70000000000002,14085100.0,308187300.0,3713.1000000000004,231140475.0,127226550.0,2043.7999999999997,2.0724808485562756
US / Canada,2024-11-01,21,431.8,35839400.0,194.19999999999996,16118600.0,326098700.0,3928.9,244574025.0,129859725.0,2086.1,2.223480947476828
US / Canada,2024-12-01,24,278.8,23140400.0,800.2999999999998,66424900.0,280639600.0,3381.2,210479700.0,102339000.0,1644.0,0.3483693614894415
US / Canada,2025-01-01,29,540.2,44836600.0,575.3999999999999,47758200.0,277718000.0,3346.0,208288500.0,103422150.0,1661.3999999999999,0.9388251651025373
US / Canada,2025-02-01,28,415.7,34503100.0,245.9,20409700.0,291811400.0,3515.8,218858550.0,97819650.0,1571.3999999999999,1.6905246034973567
US / Canada,2025-03-01,31,597.6999999999999,49609100.0,401.4,33316200.0,308104300.0,3712.1,231078225.0,94097100.0,1511.6000000000001,1.4890383657199802
US / Canada,2025-04-01,25,548.8,45550400.0,411.40000000000003,34146200.0,319508500.0,3849.5,239631375.0,93331425.0,1499.3,1.3339815264948955
US / Canada,2025-05-01,18,309.40000000000003,25680200.0,531.1,44081300.0,298385000.0,3595.0,223788750.0,78895650.0,1267.4,0.5825644887968368
US / Canada,2025-06-01,29,553.0,45899000.0,374.5,31083500.0,313200500.0,3773.5,234900375.0,87797400.0,1410.4,1.4766355140186915
US / Canada,2025-07-01,38,766.0000000000001,63578000.0,227.10000000000002,18849300.0,357929200.0,4312.4,268446900.0,98230500.0,1577.9999999999998,3.37296345222369
US / Canada,2025-08-01,35,614.9000000000002,51036700.0,419.99999999999994,34860000.0,374105900.0,4507.299999999999,280579425.0,103696050.0,1665.8000000000002,1.464047619047619
US / Canada,2025-09-01,31,507.90000000000003,42155700.0,345.3,28659900.0,387601700.0,4669.9,290701275.0,141867750.0,2279.0000000000005,1.4708948740225891
US / Canada,2025-10-01,17,308.6,25613800.0,487.59999999999997,40470800.0,372744700.0,4490.9,279558525.0,149306625.0,2398.5,0.632895816242822
US / Canada,2025-11-01,30,471.6,39142800.0,399.5,33158500.0,377342900.0,4546.3,283007175.0,156558750.0,2514.9999999999995,1.1804755944931165
US / Canada,2025-12-01,33,593.5,49260500.0,527.0,43741000.0,382480600.0,4608.2,286860450.0,154516950.0,2482.2000000000003,1.1261859582542695
Europe,2024-01-01,4,60.3,5306400.0,0.0,0.0,5306400.0,60.3,3979800.0,0.0,0.0,
Europe,2024-02-01,6,66.7,5869600.0,0.0,0.0,11176000.0,127.0,8382000.0,0.0,0.0,
Europe,2024-03-01,6,144.0,12672000.0,0.0,0.0,23848000.0,271.0,17886000.0,3940200.0,59.7,
Europe,2024-04-01,3,50.7,4461600.0,0.0,0.0,28309600.0,321.7,21232200.0,4323000.0,65.5,
Europe,2024-05-01,1,23.3,2050400.0,0.0,0.0,30360000.0,345.0,22770000.0,4969800.0,75.3,
Europe,2024-06-01,2,45.300000000000004,3986400.0000000005,0.0,0.0,34346400.0,390.3,25759800.0,9002400.0,136.4,
Europe,2024-07-01,4,44.0,3872000.0,0.0,0.0,38218400.0,434.3,28663800.0,11847000.0,179.5,
Europe,2024-08-01,4,77.1,6784800.0,5.8,510400.0,44492800.0,505.6000000000001,33369600.0,12612600.0,191.1,13.293103448275861
Europe,2024-09-01,4,51.8,4558400.0,34.6,3044800.0,46006400.0,522.8,34504800.0,13695000.0,207.49999999999997,1.4971098265895955
Europe,2024-10-01,1,10.3,906400.0000000001,28.0,2464000.0,44448800.0,505.1,33336600.0,11893200.0,180.19999999999996,0.3678571428571429
Europe,2024-11-01,3,39.3,3458400.0,42.2,3713600.0,44193600.0,502.19999999999993,33145200.0,16651800.0,252.29999999999995,0.9312796208530806
Europe,2024-12-01,2,44.6,3924800.0,84.8,7462400.0,40656000.0,461.99999999999994,30492000.0,16440600.0,249.09999999999997,0.5259433962264151
Europe,2025-01-01,0,0.0,0.0,69.09999999999998,6080800.0,34575200.0,392.9,25931400.0,14909400.0,225.89999999999998,0.0
Europe,2025-02-01,5,67.3,5922400.0,35.5,3124000.0,37373600.0,424.7,28030200.0,17377800.0,263.29999999999995,1.8957746478873239
Europe,2025-03-01,4,38.8,3414400.0,62.699999999999996,5517600.0,35270400.0,400.80000000000007,26452800.0,9411600.0,142.6,0.6188197767145136
Europe,2025-04-01,6,102.2,8993600.0,112.19999999999999,9873600.0,34390400.0,390.8,25792800.0,9543600.0,144.6,0.910873440285205
Europe,2025-05-01,3,34.3,3018400.0,14.2,1249600.0,36159200.0,410.9,27119400.0,13035000.0,197.5,2.415492957746479
Europe,2025-06-01,2,60.8,5350400.0,81.1,7136800.0,34372800.0,390.59999999999997,25779600.0,11536800.0,174.8,0.749691738594328
Europe,2025-07-01,5,92.5,8140000.0,16.7,1469600.0,41043200.0,466.40000000000003,30782400.0,8428200.0,127.7,5.538922155688622
Europe,2025-08-01,4,66.5,5852000.0,25.9,2279200.0,44616000.0,507.0,33462000.0,11279400.0,170.9,2.5675675675675675
Europe,2025-09-01,5,84.9,7471200.0,31.8,2798400.0,49288800.0,560.1,36966600.0,13516800.0,204.79999999999998,2.669811320754717
Europe,2025-10-01,1,28.4,2499200.0,64.4,5667200.0,46120800.0,524.1,34590600.0,16618800.0,251.8,0.4409937888198758
Europe,2025-11-01,5,93.70000000000002,8245600.0,15.299999999999999,1346400.0,53020000.0,602.5000000000001,39765000.0,17179800.0,260.3,6.124183006535947
Europe,2025-12-01,5,122.5,10780000.0,89.19999999999999,7849600.0,55950400.0,635.8,41962800.0,15259200.0,231.2,1.3733183856502242
MENA,2024-01-01,2,72.8,5896800.0,0.0,0.0,5896800.0,72.8,4422600.0,0.0,0.0,
MENA,2024-02-01,4,49.400000000000006,4001400.0,0.0,0.0,9898200.0,122.2,7423650.0,3268350.0,53.8,
MENA,2024-03-01,3,67.69999999999999,5483700.0,0.0,0.0,12465900.0,153.89999999999998,9349425.0,4009500.0,66.0,
MENA,2024-04-01,1,15.3,1239300.0,0.0,0.0,13705200.0,169.2,10278900.0,5516100.0,90.8,
MENA,2024-05-01,1,5.9,477900.0,0.0,0.0,14183100.0,175.1,10637325.0,5516100.0,90.8,
MENA,2024-06-01,1,13.2,1069200.0,0.0,0.0,15252300.0,188.29999999999998,11439225.0,4568400.0,75.2,
MENA,2024-07-01,4,50.9,4122900.0,0.0,0.0,19067400.0,235.39999999999998,14300550.0,4981500.0,81.99999999999999,
MENA,2024-08-01,1,14.9,1206900.0,24.799999999999997,2008800.0,18265500.0,225.5,13699125.0,5388525.0,88.7,0.6008064516129032
MENA,2024-09-01,0,0.0,0.0,0.0,0.0,18265500.0,225.5,13699125.0,7162425.0,117.9,
MENA,2024-10-01,1,28.8,2332800.0,15.3,1239300.0,19359000.0,239.0,14519250.0,5376375.0,88.5,1.8823529411764706
MENA,2024-11-01,0,0.0,0.0,0.0,0.0,19359000.0,239.0,14519250.0,6876900.0,113.20000000000002,
MENA,2024-12-01,2,18.9,1530900.0,12.2,988200.0,19901700.0,245.70000000000002,14926275.0,6050700.0,99.6,1.5491803278688525
MENA,2025-01-01,2,36.1,2924100.0,0.0,0.0,20493000.0,253.00000000000003,15369750.0,4276800.0,70.4,
MENA,2025-02-01,0,0.0,0.0,21.299999999999997,1725300.0,18767700.0,231.70000000000005,14075775.0,4398300.0,72.39999999999999,0.0
MENA,2025-03-01,2,55.4,4487400.0,43.7,3539700.0,19715400.0,243.4,14786550.0,2679075.0,44.099999999999994,1.2677345537757436
MENA,2025-04-01,3,53.9,4365900.0,19.0,1539000.0,22542300.0,278.3,16906725.0,2174850.0,35.8,2.836842105263158
MENA,2025-05-01,5,95.2,7711200.0,77.6,6285600.0,23967900.0,295.9,17975925.0,5479650.0,90.19999999999999,1.2268041237113403
MENA,2025-06-01,2,29.7,2405700.0,22.9,1854900.0,24518700.0,302.7,18389025.0,6785775.0,111.69999999999999,1.296943231441048
MENA,2025-07-01,4,58.300000000000004,4722300.0,28.400000000000002,2300400.0,26940600.0,332.6,20205450.0,7660575.0,126.09999999999998,2.0528169014084505
MENA,2025-08-01,5,143.39999999999998,11615400.0,8.1,656100.0,37899900.0,467.9,28424925.0,12125700.0,199.6,17.703703703703702
