order_id,region,market,edge_case,booked_month,mw,order_value,material_committed,promised_months,expected_conversion,slip_months,actual_conversion,cancelled
NX-00001,North America,US / Canada,False,2024-01-01,31.5,2614500.0,1960875.0,16,2025-05-01,0.9,2025-06-01,False
NX-00002,North America,US / Canada,False,2024-01-01,24.9,2066699.9999999998,1550024.9999999998,15,2025-04-01,0.01,2025-04-01,False
NX-00003,North America,US / Canada,False,2024-01-01,10.8,896400.0000000001,672300.0000000001,5,2024-06-01,2.58,2024-09-01,False
NX-00004,North America,US / Canada,False,2024-01-01,6.0,498000.0,373500.0,4,2024-05-01,0.0,2024-05-01,False
NX-00005,North America,US / Canada,False,2024-01-01,4.2,348600.0,261450.0,11,2024-12-01,0.11,2024-12-01,False
NX-00006,North America,US / Canada,False,2024-01-01,11.9,987700.0,740775.0,8,2024-09-01,0.03,2024-09-01,False
NX-00007,North America,US / Canada,False,2024-01-01,15.3,1269900.0,952425.0,11,2024-12-01,0.3,2024-12-01,False
NX-00008,North America,US / Canada,False,2024-01-01,12.5,1037500.0,778125.0,5,2024-06-01,3.42,2024-09-01,False
NX-00009,North America,US / Canada,False,2024-01-01,21.5,1784500.0,1338375.0,5,2024-06-01,0.08,2024-06-01,False
NX-00010,North America,US / Canada,False,2024-01-01,17.5,1452500.0,1089375.0,12,2025-01-01,1.12,2025-02-01,False
NX-00011,North America,US / Canada,False,2024-01-01,14.4,1195200.0,896400.0,10,2024-11-01,0.67,2024-12-01,False
NX-00012,North America,US / Canada,False,2024-01-01,30.7,2548100.0,1911075.0,4,2024-05-01,0.0,2024-05-01,False
NX-00013,EMEA,Europe,False,2024-01-01,19.0,1672000.0,1254000.0,11,2024-12-01,6.8,2025-07-01,False
NX-00014,EMEA,Europe,False,2024-01-01,22.6,1988800.0000000002,1491600.0000000002,10,2024-11-01,1.38,2024-12-01,False
NX-00015,EMEA,Europe,False,2024-01-01,20.6,1812800.0000000002,1359600.0000000002,8,2024-09-01,1.77,2024-11-01,False
NX-00016,EMEA,Europe,False,2024-01-01,14.7,1293600.0,970200.0,12,2025-01-01,0.25,2025-01-01,False
NX-00017,EMEA,Europe,False,2024-01-01,12.9,1135200.0,851400.0,12,2025-01-01,0.81,2025-02-01,False
NX-00018,EMEA,MENA,False,2024-01-01,3.6,291600.0,218700.0,6,2024-07-01,2.76,2024-10-01,False
NX-00019,EMEA,MENA,False,2024-01-01,36.2,2932200.0,2199150.0,12,2025-01-01,0.09,,True
NX-00020,EMEA,MENA,False,2024-01-01,34.1,2762100.0,2071575.0,9,2024-10-01,0.18,2024-10-01,False
NX-00021,APAC,India,True,2024-01-01,18.9,1341900.0,1006425.0,2,2024-03-01,20.04,2025-11-01,False
NX-00022,APAC,India,True,2024-01-01,4.9,347900.0,260925.0,7,2024-08-01,1.76,2024-10-01,False
NX-00023,APAC,India,True,2024-01-01,19.3,1370300.0,1027725.0,12,2025-01-01,18.15,2026-07-01,False
NX-00024,APAC,Australia/SEA,False,2024-01-01,7.2,604800.0,453600.0,6,2024-07-01,0.01,2024-07-01,False
NX-00025,North America,US / Canada,False,2024-02-01,12.3,1020900.0000000001,765675.0000000001,5,2024-07-01,0.64,2024-08-01,False
NX-00026,North America,US / Canada,False,2024-02-01,12.2,1012599.9999999999,759449.9999999999,9,2024-11-01,1.07,2024-12-01,False
NX-00027,North America,US / Canada,False,2024-02-01,10.8,896400.0000000001,672300.0000000001,6,2024-08-01,0.16,2024-08-01,False
