date_key,year,quarter,month_no,month_name,year_month,fy_label,year_month_sort,date
2024-01-01,2024,Q1,1,Jan,2024-01,Jan 24,202401,2024-01-01
2024-02-01,2024,Q1,2,Feb,2024-02,Feb 24,202402,2024-02-01
2024-03-01,2024,Q1,3,Mar,2024-03,Mar 24,202403,2024-03-01
2024-04-01,2024,Q2,4,Apr,2024-04,Apr 24,202404,2024-04-01
2024-05-01,2024,Q2,5,May,2024-05,May 24,202405,2024-05-01
2024-06-01,2024,Q2,6,Jun,2024-06,Jun 24,202406,2024-06-01
2024-07-01,2024,Q3,7,Jul,2024-07,Jul 24,202407,2024-07-01
2024-08-01,2024,Q3,8,Aug,2024-08,Aug 24,202408,2024-08-01
2024-09-01,2024,Q3,9,Sep,2024-09,Sep 24,202409,2024-09-01
2024-10-01,2024,Q4,10,Oct,2024-10,Oct 24,202410,2024-10-01
2024-11-01,2024,Q4,11,Nov,2024-11,Nov 24,202411,2024-11-01
2024-12-01,2024,Q4,12,Dec,2024-12,Dec 24,202412,2024-12-01
2025-01-01,2025,Q1,1,Jan,2025-01,Jan 25,202501,2025-01-01
2025-02-01,2025,Q1,2,Feb,2025-02,Feb 25,202502,2025-02-01
2025-03-01,2025,Q1,3,Mar,2025-03,Mar 25,202503,2025-03-01
2025-04-01,2025,Q2,4,Apr,2025-04,Apr 25,202504,2025-04-01
2025-05-01,2025,Q2,5,May,2025-05,May 25,202505,2025-05-01
2025-06-01,2025,Q2,6,Jun,2025-06,Jun 25,202506,2025-06-01
2025-07-01,2025,Q3,7,Jul,2025-07,Jul 25,202507,2025-07-01
2025-08-01,2025,Q3,8,Aug,2025-08,Aug 25,202508,2025-08-01
2025-09-01,2025,Q3,9,Sep,2025-09,Sep 25,202509,2025-09-01
2025-10-01,2025,Q4,10,Oct,2025-10,Oct 25,202510,2025-10-01
2025-11-01,2025,Q4,11,Nov,2025-11,Nov 25,202511,2025-11-01
2025-12-01,2025,Q4,12,Dec,2025-12,Dec 25,202512,2025-12-01
2026-01-01,2026,Q1,1,Jan,2026-01,Jan 26,202601,2026-01-01
2026-02-01,2026,Q1,2,Feb,2026-02,Feb 26,202602,2026-02-01
2026-03-01,2026,Q1,3,Mar,2026-03,Mar 26,202603,2026-03-01
2026-04-01,2026,Q2,4,Apr,2026-04,Apr 26,202604,2026-04-01
2026-05-01,2026,Q2,5,May,2026-05,May 26,202605,2026-05-01
2026-06-01,2026,Q2,6,Jun,2026-06,Jun 26,202606,2026-06-01
2026-07-01,2026,Q3,7,Jul,2026-07,Jul 26,202607,2026-07-01
2026-08-01,2026,Q3,8,Aug,2026-08,Aug 26,202608,2026-08-01
2026-09-01,2026,Q3,9,Sep,2026-09,Sep 26,202609,2026-09-01
2026-10-01,2026,Q4,10,Oct,2026-10,Oct 26,202610,2026-10-01
2026-11-01,2026,Q4,11,Nov,2026-11,Nov 26,202611,2026-11-01
2026-12-01,2026,Q4,12,Dec,2026-12,Dec 26,202612,2026-12-01
2027-01-01,2027,Q1,1,Jan,2027-01,Jan 27,202701,2027-01-01
2027-02-01,2027,Q1,2,Feb,2027-02,Feb 27,202702,2027-02-01
2027-03-01,2027,Q1,3,Mar,2027-03,Mar 27,202703,2027-03-01
2027-04-01,2027,Q2,4,Apr,2027-04,Apr 27,202704,2027-04-01
2027-05-01,2027,Q2,5,May,2027-05,May 27,202705,2027-05-01
2027-06-01,2027,Q2,6,Jun,2027-06,Jun 27,202706,2027-06-01
2027-07-01,2027,Q3,7,Jul,2027-07,Jul 27,202707,2027-07-01
2027-08-01,2027,Q3,8,Aug,2027-08,Aug 27,202708,2027-08-01
2027-09-01,2027,Q3,9,Sep,2027-09,Sep 27,202709,2027-09-01
2027-10-01,2027,Q4,10,Oct,2027-10,Oct 27,202710,2027-10-01
2027-11-01,2027,Q4,11,Nov,2027-11,Nov 27,202711,2027-11-01
2027-12-01,2027,Q4,12,Dec,2027-12,Dec 27,202712,2027-12-01
2028-01-01,2028,Q1,1,Jan,2028-01,Jan 28,202801,2028-01-01
2028-02-01,2028,Q1,2,Feb,2028-02,Feb 28,202802,2028-02-01
2028-03-01,2028,Q1,3,Mar,2028-03,Mar 28,202803,2028-03-01
