cutoff,month,cutoff_key,date_key,months_ahead,actual,p10,p25,p50,p75,p90,error,inside_80,inside_50,direction
2024-10-01,2024-11-01,2024-10-01,2024-11-01,1,26443500.0,25666295.0,28318487.5,31149150.0,33894725.0,36317115.0,-4705650.0,1,0,Forecast high
2024-10-01,2024-12-01,2024-10-01,2024-12-01,2,26693350.0,22412285.0,25199787.5,28110075.0,31375687.5,34227200.0,-1416725.0,1,1,Forecast high
2024-10-01,2025-01-01,2024-10-01,2025-01-01,3,23339950.0,22513335.0,24923025.0,27528825.0,30216862.5,32501815.0,-4188875.0,1,0,Forecast high
2024-10-01,2025-02-01,2024-10-01,2025-02-01,4,17299300.0,11465735.0,13363100.0,15750875.0,18436212.5,20920335.0,1548425.0,1,1,Forecast low
2024-10-01,2025-03-01,2024-10-01,2025-03-01,5,20974650.0,14173410.0,15837912.5,17627850.0,19440475.0,21238285.0,3346800.0,1,0,Forecast low
2024-10-01,2025-04-01,2024-10-01,2025-04-01,6,20108700.0,16013605.0,17669050.0,19541950.0,21509662.5,23275200.0,566750.0,1,1,Forecast low
2024-11-01,2024-12-01,2024-11-01,2024-12-01,1,26693350.0,23730000.0,25433262.5,27530225.0,29312137.5,30949435.0,-836875.0,1,1,Forecast high
2024-11-01,2025-01-01,2024-11-01,2025-01-01,2,23339950.0,26311900.0,28707012.5,31393475.0,33893712.5,36159085.0,-8053525.0,0,0,Forecast high
2024-11-01,2025-02-01,2024-11-01,2025-02-01,3,17299300.0,12624305.0,14521612.5,16650925.0,19047737.5,21207925.0,648375.0,1,1,Forecast low
2024-11-01,2025-03-01,2024-11-01,2025-03-01,4,20974650.0,15505260.0,17230712.5,19178150.0,21072150.0,23000715.0,1796500.0,1,1,Forecast low
2024-11-01,2025-04-01,2024-11-01,2025-04-01,5,22132100.0,16725330.0,18509962.5,20408000.0,22395325.0,24137025.0,1724100.0,1,1,Forecast low
2024-11-01,2025-05-01,2024-11-01,2025-05-01,6,20321950.0,16220930.0,18077562.5,20017400.0,21825362.5,23381970.0,304550.0,1,1,Forecast low
2024-12-01,2025-01-01,2024-12-01,2025-01-01,1,23339950.0,22115270.0,24391950.0,26841150.0,29140012.5,31154375.0,-3501200.0,1,0,Forecast high
2024-12-01,2025-02-01,2024-12-01,2025-02-01,2,17299300.0,14451670.0,16531475.0,18883600.0,21622875.0,23874730.0,-1584300.0,1,1,Forecast high
2024-12-01,2025-03-01,2024-12-01,2025-03-01,3,20974650.0,16956750.0,18736362.5,20629750.0,22590000.0,24467070.0,344900.0,1,1,Forecast low
2024-12-01,2025-04-01,2024-12-01,2025-04-01,4,22132100.0,15777840.0,17428575.0,19487075.0,21738900.0,23874045.0,2645025.0,1,0,Forecast low
2024-12-01,2025-05-01,2024-12-01,2025-05-01,5,23070950.0,18468325.0,20520275.0,22876700.0,25175975.0,27328425.0,194250.0,1,1,Forecast low
2024-12-01,2025-06-01,2024-12-01,2025-06-01,6,20903950.0,13756670.0,16137225.0,18868925.0,21416100.0,23749425.0,2035025.0,1,1,Forecast low
2025-01-01,2025-02-01,2025-01-01,2025-02-01,1,17299300.0,16303770.0,17794487.5,19402425.0,20987500.0,22395165.0,-2103125.0,1,0,Forecast high
2025-01-01,2025-03-01,2025-01-01,2025-03-01,2,20974650.0,17937905.0,19763637.5,21770900.0,23876525.0,25637540.0,-796250.0,1,1,Forecast high
2025-01-01,2025-04-01,2025-01-01,2025-04-01,3,22132100.0,16302040.0,18042200.0,20101675.0,22193737.5,24072680.0,2030425.0,1,1,Forecast low
