month,date_key,scope,layer,p10,p25,p50,p75,p90
2026-01-01,2026-01-01,TOTAL,firm,20862045.0,23149237.5,25722250.0,28345887.5,30696345.0
2026-02-01,2026-02-01,TOTAL,firm,22772185.0,25098675.0,27842025.0,30612662.5,33049310.0
2026-03-01,2026-03-01,TOTAL,firm,21698590.0,23930537.5,26726925.0,29422250.0,32079240.0
2026-04-01,2026-04-01,TOTAL,firm,25154060.0,28210337.5,31557600.0,34835037.5,37821440.0
2026-05-01,2026-05-01,TOTAL,firm,21925070.0,24836212.5,27924400.0,31410512.5,34400165.0
2026-06-01,2026-06-01,TOTAL,firm,18380285.0,20702362.5,23644350.0,26666462.5,29659575.0
2026-07-01,2026-07-01,TOTAL,firm,15562995.0,20014637.5,23876950.0,26951750.0,29807305.0
2026-08-01,2026-08-01,TOTAL,firm,8045300.0,9587887.5,11650950.0,14611500.0,19199760.0
2026-09-01,2026-09-01,TOTAL,firm,7903320.0,9517750.0,11495400.0,13736500.0,16123969.999999998
2026-10-01,2026-10-01,TOTAL,firm,7272080.0,8931887.5,11058775.0,13542387.5,15995600.0
2026-11-01,2026-11-01,TOTAL,firm,8012020.0,9642500.0,11503225.0,13656275.0,15839185.0
2026-12-01,2026-12-01,TOTAL,firm,5524565.0,6901187.5,8886775.0,11183825.0,13452740.0
2026-01-01,2026-01-01,TOTAL,pipeline,0.0,0.0,0.0,0.0,0.0
2026-02-01,2026-02-01,TOTAL,pipeline,0.0,0.0,0.0,0.0,0.0
2026-03-01,2026-03-01,TOTAL,pipeline,0.0,0.0,0.0,0.0,0.0
2026-04-01,2026-04-01,TOTAL,pipeline,0.0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01,TOTAL,pipeline,0.0,0.0,0.0,0.0,0.0
2026-06-01,2026-06-01,TOTAL,pipeline,3124950.0,4592400.0,6328700.0,8811300.0,11621450.0
2026-07-01,2026-07-01,TOTAL,pipeline,5643650.0,7684300.0,9974100.0,13272000.0,16672100.0
2026-08-01,2026-08-01,TOTAL,pipeline,8352615.0,10372050.0,13359400.0,16683850.0,20415500.0
2026-09-01,2026-09-01,TOTAL,pipeline,10516100.0,13299250.0,16164000.0,20274400.0,24604750.0
2026-10-01,2026-10-01,TOTAL,pipeline,12997800.0,15312500.0,18684650.0,23015100.0,27136950.0
2026-11-01,2026-11-01,TOTAL,pipeline,14478050.0,17015100.0,20760100.0,25699800.0,29858414.999999996
2026-12-01,2026-12-01,TOTAL,pipeline,16272550.0,19117250.0,22913000.0,27195950.0,31836100.0
2026-01-01,2026-01-01,TOTAL,all,20862045.0,23149237.5,25722250.0,28345887.5,30696345.0
2026-02-01,2026-02-01,TOTAL,all,22772185.0,25098675.0,27842025.0,30612662.5,33049310.0
2026-03-01,2026-03-01,TOTAL,all,21698590.0,23930537.5,26726925.0,29422250.0,32079240.0
2026-04-01,2026-04-01,TOTAL,all,25154060.0,28210337.5,31557600.0,34835037.5,37821440.0
2026-05-01,2026-05-01,TOTAL,all,21925070.0,24836212.5,27924400.0,31410512.5,34400165.0
2026-06-01,2026-06-01,TOTAL,all,24160670.0,26939450.0,30413900.0,34342425.0,38386505.0
2026-07-01,2026-07-01,TOTAL,all,24824530.0,29504587.5,34021800.0,38728300.0,42868480.0
2026-08-01,2026-08-01,TOTAL,all,18872265.0,21968787.5,25754125.0,30579737.5,35212555.0
2026-09-01,2026-09-01,TOTAL,all,21182975.0,24215862.5,28124675.0,32829250.0,37703520.0
2026-10-01,2026-10-01,TOTAL,all,22971730.0,26152687.5,30392875.0,35089262.5,39756830.0
2026-11-01,2026-11-01,TOTAL,all,25005335.0,28350075.0,32706625.0,37972550.0,42594825.0
2026-12-01,2026-12-01,TOTAL,all,24412585.0,27820675.0,32155575.0,37106237.5,41988865.0
2026-01-01,2026-01-01,EMEA,all,1389545.0000000002,2582437.5,4055800.0,5868537.5,7317045.0
2026-02-01,2026-02-01,EMEA,all,3153730.0,4245950.0,5753625.0,7482987.5,9028485.0
2026-03-01,2026-03-01,EMEA,all,1609320.0,2362550.0,3441925.0,4656475.0,6014239.999999999
2026-04-01,2026-04-01,EMEA,all,1192305.0,2055100.0,3551550.0,4886312.5,6225854.999999999
2026-05-01,2026-05-01,EMEA,all,1233710.0,2406600.0,3796325.0,5415987.5,6946835.0
2026-06-01,2026-06-01,EMEA,all,1937300.0,2899500.0,4371750.0,6003087.5,7717600.0
2026-07-01,2026-07-01,EMEA,all,1051925.0000000002,1893275.0,3058000.0,4536825.0,6065830.0
2026-08-01,2026-08-01,EMEA,all,1236400.0,1941350.0,3007250.0,4301800.0,5611320.0
2026-09-01,2026-09-01,EMEA,all,1970930.0,2962037.5,4305075.0,5806187.5,7290165.0
2026-10-01,2026-10-01,EMEA,all,1748700.0,2742475.0,4020525.0,5602762.5,7137450.0
2026-11-01,2026-11-01,EMEA,all,1755535.0,2599175.0,3872150.0,5412887.5,7012940.0
2026-12-01,2026-12-01,EMEA,all,2019500.0,3185037.5,4689925.0,6459075.0,8132929.999999999
2026-01-01,2026-01-01,LATAM,all,0.0,0.0,920350.0,1354850.0,2180400.0
2026-02-01,2026-02-01,LATAM,all,327850.0,825550.0,1402250.0,2081650.0,2674150.0
2026-03-01,2026-03-01,LATAM,all,568800.0,1331150.0,2377900.0,3444400.0,4530650.0
2026-04-01,2026-04-01,LATAM,all,790000.0,1366700.0,2219900.0,3231100.0,4262050.0
2026-05-01,2026-05-01,LATAM,all,308100.0,718900.0,1378550.0,2251500.0,3096800.0
2026-06-01,2026-06-01,LATAM,all,1204750.0,1955250.0,2919050.0,4064550.0,5178450.0
2026-07-01,2026-07-01,LATAM,all,1164855.0000000002,1998700.0,3339725.0,4729137.5,6143039.999999999
2026-08-01,2026-08-01,LATAM,all,647800.0,1291650.0,2279150.0,3637950.0,4977395.0
2026-09-01,2026-09-01,LATAM,all,823180.0000000008,1784412.5,3258750.0,4743950.0,6209400.0
2026-10-01,2026-10-01,LATAM,all,749710.0000000002,1461500.0,2640575.0,4096150.0,5681284.999999999
2026-11-01,2026-11-01,LATAM,all,647800.0,1266962.5,2545775.0,3973700.0,5424139.999999999
2026-12-01,2026-12-01,LATAM,all,1070450.0,1911800.0,3201475.0,4635325.0,6142645.0
2026-01-01,2026-01-01,APAC,all,0.0,0.0,255600.0,596400.0,830700.0
2026-02-01,2026-02-01,APAC,all,670950.0,1050800.0,1729350.0,2757750.0,3431410.0
2026-03-01,2026-03-01,APAC,all,735000.0,1256750.0,1980200.0,2848550.0,3672850.0
2026-04-01,2026-04-01,APAC,all,944850.0,1839225.0,2932125.0,4125600.0,5251725.0
2026-05-01,2026-05-01,APAC,all,810180.0000000001,1395062.5,2330225.0,3320587.5,4280490.0
2026-06-01,2026-06-01,APAC,all,670950.0,1335837.5,2323725.0,3417950.0,4647060.0
2026-07-01,2026-07-01,APAC,all,482800.0,1001100.0,1789200.0,2732562.5,3895980.0
2026-08-01,2026-08-01,APAC,all,351450.0,837800.0,1691000.0,2809350.0,4650539.999999999
2026-09-01,2026-09-01,APAC,all,223650.0,685150.0,1331400.0,2310112.5,3771690.0
2026-10-01,2026-10-01,APAC,all,630000.0,1347100.0,2949975.0,5443062.5,6933525.0
2026-11-01,2026-11-01,APAC,all,497000.0,1239437.5,2462750.0,4937050.0,6829275.0
