order_id,market,booked_key,expected_key,actual_key,mw,order_value,material_committed,promised_months,slip_months,cancelled,status
NX-00001,US / Canada,2024-01-01,2025-05-01,2025-06-01,31.5,2614500.0,1307250.0,16,0.9,False,On plan
NX-00002,US / Canada,2024-01-01,2025-04-01,2025-04-01,24.9,2066700.0,1033350.0,15,0.01,False,On plan
NX-00003,US / Canada,2024-01-01,2024-06-01,2024-09-01,10.8,896400.0000000001,448200.00000000006,5,2.58,False,Slipped 2mo+
NX-00004,US / Canada,2024-01-01,2024-06-01,2024-06-01,6.0,498000.0,249000.0,5,0.0,False,On plan
NX-00005,US / Canada,2024-01-01,2024-12-01,2024-12-01,4.2,348600.0,174300.0,11,0.11,False,On plan
NX-00006,US / Canada,2024-01-01,2024-09-01,2024-09-01,11.9,987700.0,493850.0,8,0.03,False,On plan
NX-00007,US / Canada,2024-01-01,2024-12-01,2024-12-01,15.3,1269900.0,634950.0,11,0.3,False,On plan
NX-00008,US / Canada,2024-01-01,2024-06-01,2024-09-01,12.5,1037500.0,518750.0,5,3.42,False,Slipped 2mo+
NX-00009,US / Canada,2024-01-01,2024-06-01,2024-06-01,21.5,1784500.0,892250.0,5,0.08,False,On plan
NX-00010,US / Canada,2024-01-01,2025-01-01,2025-02-01,17.5,1452500.0,726250.0,12,1.12,False,On plan
NX-00011,US / Canada,2024-01-01,2024-11-01,2024-12-01,14.4,1195200.0,597600.0,10,0.67,False,On plan
NX-00012,US / Canada,2024-01-01,2024-06-01,2024-06-01,30.7,2548100.0,1274050.0,5,0.0,False,On plan
NX-00013,Europe,2024-01-01,2024-12-01,2025-07-01,19.0,1672000.0,836000.0,11,6.8,False,Slipped 2mo+
NX-00014,Europe,2024-01-01,2024-11-01,2024-12-01,22.6,1988800.0,994400.0,10,1.38,False,On plan
NX-00015,Europe,2024-01-01,2024-09-01,2024-11-01,20.6,1812800.0,906400.0,8,1.77,False,On plan
NX-00016,Europe,2024-01-01,2025-01-01,2025-01-01,14.7,1293600.0,646800.0,12,0.25,False,On plan
NX-00017,Europe,2024-01-01,2025-01-01,2025-02-01,12.9,1135200.0,567600.0,12,0.81,False,On plan
NX-00018,MENA,2024-01-01,2024-07-01,2024-10-01,3.6,291600.0,145800.0,6,2.76,False,Slipped 2mo+
